城市,2024潜力指数,2025预测潜力指数,变化
济南市,0.5915619751269174,0.58528674,-0.0062752386385751535
青岛市,0.4655112563226803,0.4697096,0.00419834865588109
淄博市,0.45368727893806554,0.4459249,-0.00776237101532079
东营市,0.39464735672682777,0.36979997,-0.024847385146322398
威海市,0.3771710559876098,0.35619405,-0.020977006867660464
泰安市,0.32054282053697686,0.3410352,0.020492366707438425
烟台市,0.32047278367196386,0.31354848,-0.006924308168042348
潍坊市,0.2595914065643955,0.28091836,0.021326953192074227
德州市,0.259115711038132,0.2613807,0.002264991219024348
日照市,0.24991291920830064,0.24914658,-0.0007663385121946809
滨州市,0.23225800819389936,0.21866411,-0.013593898487020695
济宁市,0.21683091262462736,0.22926232,0.012431409562796342
枣庄市,0.21092499491778754,0.20871519,-0.002209809394754403
菏泽市,0.20024564926775634,0.20400654,0.003760888527310491
聊城市,0.18189357751496937,0.18898575,0.007092172564185595
临沂市,0.16380432577177081,0.18073411,0.016929787087001463
